match_dir,M,p,lam,seed,seat,agent,kind,mean_coop,mean_reward,total_reward,switch_rate,gtft_match_rate,final_action,final_coop
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,4,grok_41_fast,llm,0.755,0.8451318128640196,42.25659064320098,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,0,always_cooperate,deterministic,1.0,0.7537372631552353,37.68686315776176,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,1,always_defect,deterministic,0.0,2.5298427134464507,126.49213567232255,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,2,graded_tft,deterministic,0.755,1.1902636257280392,59.51318128640196,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,3,gpt4o_mini,llm,0.755,1.1902636257280392,59.51318128640196,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,4,grok_41_fast,llm,0.755,1.1902636257280392,59.51318128640196,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,0,always_cooperate,deterministic,1.0,-0.3475,-17.375,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,1,always_defect,deterministic,0.0,1.1525,57.625,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,2,graded_tft,deterministic,0.5,0.4025,20.125,0.2,1.0,2,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,3,gpt4o_mini,llm,0.41,0.5375,26.875,0.3,0.6,2,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,4,grok_41_fast,llm,0.395,0.56,28.0,0.18,0.46,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,0,always_cooperate,deterministic,1.0,-0.4071295049817816,-20.35647524908908,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,1,always_defect,deterministic,0.0,1.0968057425273274,54.84028712636638,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,2,graded_tft,deterministic,0.47,0.3895420557924356,19.47710278962178,0.3,1.0,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,3,gpt4o_mini,llm,0.335,0.5915023383856644,29.575116919283218,0.32,0.44,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,4,grok_41_fast,llm,0.365,0.5465023383856643,27.325116919283218,0.14,0.46,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,0,always_cooperate,deterministic,1.0,-0.42955507294390055,-21.477753647195026,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,1,always_defect,deterministic,0.0,1.0783154220743179,53.91577110371589,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,2,graded_tft,deterministic,0.46,0.3840841115848713,19.204205579243567,0.26,1.0,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,3,gpt4o_mini,llm,0.285,0.6452086137909915,32.26043068954957,0.4,0.38,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,4,grok_41_fast,llm,0.365,0.5252086137909915,26.260430689549572,0.18,0.46,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,0,always_cooperate,deterministic,1.0,-0.365,-18.25,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,1,always_defect,deterministic,0.0,1.135,56.75,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,2,graded_tft,deterministic,0.475,0.4225,21.125,0.3,1.0,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,3,gpt4o_mini,llm,0.4,0.535,26.75,0.3,0.6,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,4,grok_41_fast,llm,0.395,0.5425,27.125,0.16,0.46,3,0.25
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.30__s101,5,0.2,0.3,101,0,always_cooperate,deterministic,1.0,-0.4164472442359517,-20.822362211797586,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.30__s101,5,0.2,0.3,101,1,always_defect,deterministic,0.0,1.0859212596067471,54.296062980337354,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.30__s101,5,0.2,0.3,101,2,graded_tft,deterministic,0.44,0.424588976195229,21.22944880976145,0.3,1.0,3,0.25
