match_dir,match_id,seed,model_raw,model,baseline_raw,baseline,mean_coop,mean_payoff,early_coop,late_coop,delta_late_minus_early,switch_rate,retaliation,forgiveness,num_rounds,agent_output_files,agent_output_chars
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__random_uniform__seed104,gemma3_27b__vs__random_uniform__seed104,104,gemma3_27b,Gemma-3-27B,random_uniform,Random,0.0,4.539984895833333,0.0,0.0,0.0,0.0,0.0,0.0,50,2,257975
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__random_uniform__seed105,gemma3_27b__vs__random_uniform__seed105,105,gemma3_27b,Gemma-3-27B,random_uniform,Random,0.0,4.445971875000001,0.0,0.0,0.0,0.0,0.0,0.0,50,2,257375
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__wsls__seed101,gemma3_27b__vs__wsls__seed101,101,gemma3_27b,Gemma-3-27B,wsls,WSLS,0.0,0.598578125,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256281
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__wsls__seed102,gemma3_27b__vs__wsls__seed102,102,gemma3_27b,Gemma-3-27B,wsls,WSLS,0.0,0.7755375,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256179
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__wsls__seed103,gemma3_27b__vs__wsls__seed103,103,gemma3_27b,Gemma-3-27B,wsls,WSLS,0.0,0.598578125,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256838
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__wsls__seed104,gemma3_27b__vs__wsls__seed104,104,gemma3_27b,Gemma-3-27B,wsls,WSLS,0.0,1.3768828124999999,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256519
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__wsls__seed105,gemma3_27b__vs__wsls__seed105,105,gemma3_27b,Gemma-3-27B,wsls,WSLS,0.0,0.958578125,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256497
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gpt_oss_20b__vs__always_cooperate__seed101,gpt_oss_20b__vs__always_cooperate__seed101,101,gpt_oss_20b,GPT-OSS-20B,always_cooperate,Always Cooperate,0.04,11.191840055617972,0.0,0.2,0.2,0.08163265306122448,,0.0425531914893617,50,2,216727
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gpt_oss_20b__vs__always_cooperate__seed102,gpt_oss_20b__vs__always_cooperate__seed102,102,gpt_oss_20b,GPT-OSS-20B,always_cooperate,Always Cooperate,0.1,11.652762331991942,0.2,0.0,-0.2,0.1836734693877551,,0.09090909090909091,50,2,219048
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gpt_oss_20b__vs__always_cooperate__seed103,gpt_oss_20b__vs__always_cooperate__seed103,103,gpt_oss_20b,GPT-OSS-20B,always_cooperate,Always Cooperate,0.02,11.966842994643457,0.1,0.0,-0.1,0.04081632653061224,,0.020833333333333332,50,2,219395
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gpt_oss_20b__vs__always_cooperate__seed104,gpt_oss_20b__vs__always_cooperate__seed104,104,gpt_oss_20b,GPT-OSS-20B,always_cooperate,Always Cooperate,0.01,11.333146311700643,0.0,0.0,0.0,0.08163265306122448,,0.04081632653061224,50,2,236709
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gpt_oss_20b__vs__always_cooperate__seed105,gpt_oss_20b__vs__always_cooperate__seed105,105,gpt_oss_20b,GPT-OSS-20B,always_cooperate,Always Cooperate,0.0,11.64321333579815,0.0,0.0,0.0,0.0,,0.0,50,2,256135
